time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,la_code,la_name,education_phases,headcount,suspensions,exclusions,susp_rate,excl_rate
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,Primary,30000,934,15,0.031133333333333332,0.0005
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,Secondary,30000,1000,15,0.03333333333333333,0.0005
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,Special,30000,693,14,0.0231,0.00046666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,Primary,100,99,21,0.99,0.21
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,Secondary,100,99,13,0.99,0.13
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,Special,100,99,17,0.99,0.17
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000003,Redcar and Cleveland,Primary,100,99,28,0.99,0.28
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000003,Redcar and Cleveland,Secondary,100,99,17,0.99,0.17
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000003,Redcar and Cleveland,Special,30000,864,23,0.0288,0.0007666666666666667
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees,Primary,30000,899,18,0.029966666666666666,0.0006
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees,Secondary,100,99,20,0.99,0.2
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees,Special,30000,1000,20,0.03333333333333333,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000005,Darlington,Primary,30000,905,16,0.030166666666666668,0.0005333333333333334
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000005,Darlington,Secondary,100,99,28,0.99,0.28
Autumn Term,201819,Local Authority,E92000001,England,E12000001,North East,E06000005,Darlington,Special,30000,957,20,0.0319,0.0006666666666666666
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000006,Halton,Primary,100,99,19,0.99,0.19
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000006,Halton,Secondary,100,99,23,0.99,0.23
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000006,Halton,Special,30000,719,21,0.023966666666666667,0.0007
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000007,Warrington,Primary,30000,984,16,0.0328,0.0005333333333333334
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000007,Warrington,Secondary,100,99,22,0.99,0.22
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000007,Warrington,Special,100,99,16,0.99,0.16
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000008,Blackburn with Darwen,Primary,30000,883,18,0.029433333333333332,0.0006
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000008,Blackburn with Darwen,Secondary,30000,793,16,0.026433333333333333,0.0005333333333333334
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000008,Blackburn with Darwen,Special,100,99,26,0.99,0.26
Autumn Term,201819,Local Authority,E92000001,England,E12000002,North West,E06000009,Blackpool,Primary,100,99,22,0.99,0.22
